Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,FengQ_2015,0.751247327156094,PA_Parvimonas micra,PA,Parvimonas micra,0.9910606085025833,-0.2985389738938355,1
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.5100906854557162,-0.1434505125640268,2
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.4082256416715391,-0.3662108242901742,3
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.40705614564391235,0.27616349546654656,4
All,LASSO,FengQ_2015,0.751247327156094,PA_Veillonella parvula,PA,Veillonella parvula,0.3923765392878694,-0.010000601451115067,5
All,LASSO,FengQ_2015,0.751247327156094,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.38053240086463236,-0.24325811301956607,6
All,LASSO,FengQ_2015,0.751247327156094,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.34622196266107874,-0.07775607278936493,7
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.3426801247641601,-0.026812684494314197,8
All,LASSO,FengQ_2015,0.751247327156094,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.2984269267374152,0.08888970236619835,9
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.2832343753138139,-0.04001522467288726,10
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.2799685468202787,0.09035320916414179,11
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.2534377110766926,-0.09867356192809697,12
All,LASSO,FengQ_2015,0.751247327156094,PA_Bacteroides intestinalis,PA,Bacteroides intestinalis,0.24772023101859347,0.004673966622992313,13
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.24338812985315422,0.1792856331222738,14
All,LASSO,FengQ_2015,0.751247327156094,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.23808573874888703,-0.04568434839462049,15
All,LASSO,FengQ_2015,0.751247327156094,PA_Blautia sp. CAG:257,PA,Blautia sp. CAG:257,0.23485505158150854,-0.1172893215626756,16
All,LASSO,FengQ_2015,0.751247327156094,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.23119914393939764,-0.09463591902182603,17
All,LASSO,FengQ_2015,0.751247327156094,PA_Klebsiella variicola,PA,Klebsiella variicola,0.22618503655559638,0.0854476804765586,18
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.2121690256399408,-0.16738741591557224,19
All,LASSO,FengQ_2015,0.751247327156094,PA_Streptococcus thermophilus,PA,Streptococcus thermophilus,0.21100653385128393,-0.13209471479053245,20
All,LASSO,FengQ_2015,0.751247327156094,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.20533624394748226,-0.05872873783049074,21
All,LASSO,FengQ_2015,0.751247327156094,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.20038127472420017,-0.08922028661876287,22
All,LASSO,FengQ_2015,0.751247327156094,PA_Lachnospira eligens,PA,Lachnospira eligens,0.1901488414962674,-0.03752507243094195,23
All,LASSO,FengQ_2015,0.751247327156094,PA_Gemmiger formicilis,PA,Gemmiger formicilis,0.1887600336513735,-0.04251150802269759,24
