Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,PA_Parvimonas micra,PA,Parvimonas micra,0.04271792173419884,0.01576603729095618,1
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.023535929554926414,0.007859206276672588,2
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.01294755103809235,0.005611732334587195,3
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.01053999733546271,-0.0012855706844743752,4
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.010487197185472353,-0.0019224078111039933,5
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.010105004096548346,-0.0006375661728474775,6
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.009415380945342253,-0.0023074677276027776,7
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.009350246736570506,0.004531920839399466,8
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.008962866053837257,0.008962866053837257,9
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,Age,covariate,Age,0.00825771858602543,-0.0006917879154531527,10
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007242143773141328,7.848432136330503e-05,11
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.006717392914496827,-7.292615154641331e-06,12
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.006257676850946932,0.002240929027611939,13
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.006220367022320979,-0.0004206494903536357,14
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.006105484686741267,0.0022282183251695585,15
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.00597900805715885,-0.002710877496338052,16
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.005561063729781468,-0.0013669027550758561,17
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.0053489525853879965,0.0009410534465532619,18
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.0051874380794037864,-0.0027023874849290007,19
OnlyMale,RandomForest,ThomasAM_2019_c,0.998015873015873,rCLR_Escherichia coli,rCLR,Escherichia coli,0.005166659864746539,0.0007754136069227227,20
